GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA512),combinator,472378286.0,472742885.0,472543946.25,472555426.0,89.0,93.0,91.88,92.0,63.0,64.0,63.25,63.0,1573.52,4613.75,4104.5,4608.25,13.97,40.96,36.44,40.91,0.0,97.0,77.78,95.0,
NVIDIA GeForce GTX 1080 Ti,ColdFusion10+,combinator,1638359273.0,1697263980.0,1668900950.75,1668411888.0,93.0,94.0,93.12,93.0,68.0,72.0,69.25,68.0,2177.06,5325.18,4742.4,5213.49,19.33,47.28,42.1,46.28,1.0,96.0,78.0,94.0,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5,combinator,577345090.0,599496541.0,588798524.75,588335012.5,95.0,96.0,95.12,95.0,63.0,66.0,64.25,63.5,2250.2,5282.88,4800.7,5276.81,19.98,46.9,42.62,46.85,1.0,97.0,75.58,96.0,
NVIDIA GeForce GTX 1080 Ti,CRC64Jones,combinator,3680845282.0,4031901845.0,3785017116.22,3768668169.0,32.0,63.0,52.33,60.0,58.0,59.0,58.89,59.0,1915.45,4989.14,4455.72,4942.43,17.01,44.29,39.56,43.88,0.0,69.0,39.83,50.0,
NVIDIA GeForce GTX 1080 Ti,DahuaAuthenticationMD5,combinator,8152139956.0,8152139956.0,8152139956.0,8152139956.0,90.0,90.0,90.0,90.0,71.0,71.0,71.0,71.0,1662.2,4689.5,3176.07,3176.18,14.76,41.63,28.2,28.2,6.0,97.0,35.17,6.5,
NVIDIA GeForce GTX 1080 Ti,DES(PT=$salt key=$pass),combinator,3093910854.0,3268352616.0,3207908439.0,3228662588.0,94.0,94.0,94.0,94.0,83.0,84.0,83.38,83.0,2219.58,5238.31,4902.93,5238.31,19.71,46.5,43.53,46.5,6.0,98.0,73.61,93.5,
NVIDIA GeForce GTX 1080 Ti,descrypt DES(Unix) TraditionalDES,combinator,187015330.0,193836595.0,190476745.0,190255146.5,94.0,94.0,94.0,94.0,65.0,68.0,66.0,65.0,1556.04,4582.69,4104.84,4582.69,13.81,40.68,36.44,40.68,0.0,95.0,71.16,92.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (AES-Twofish),combinator,181821.0,181952.0,181883.38,181871.5,96.0,96.0,96.0,96.0,63.0,63.0,63.0,63.0,2126.64,9923.94,9057.61,9923.94,18.88,88.1,80.41,88.1,3.0,100.0,79.72,94.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Serpent-AES),combinator,202481.0,224770.0,212687.56,210977.0,95.0,96.0,95.78,96.0,64.0,72.0,66.11,64.0,2138.23,9964.88,8707.97,9934.88,18.98,88.47,77.31,88.2,2.0,99.0,76.53,96.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Twofish-Serpent),combinator,205998.0,224816.0,215751.0,215080.0,90.0,96.0,95.0,96.0,64.0,72.0,66.89,65.0,2139.08,9966.38,8903.78,9936.38,18.99,88.48,79.05,88.21,2.0,99.0,79.0,98.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1536 bit (AES-Twofish-Serpent),combinator,112571.0,112779.0,112693.75,112697.0,95.0,95.0,95.0,95.0,61.0,62.0,61.62,62.0,2139.73,9936.38,8737.07,9936.38,19.0,88.21,77.57,88.21,2.0,99.0,75.31,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (AES),combinator,386422.0,386886.0,386558.5,386511.0,96.0,96.0,96.0,96.0,66.0,67.0,66.75,67.0,2137.39,9944.88,8382.77,9943.19,18.98,88.29,74.42,88.27,3.0,100.0,69.3,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Serpent),combinator,436224.0,474199.0,456328.78,456065.0,94.0,95.0,94.56,95.0,67.0,75.0,69.78,67.0,2131.85,9938.5,7012.89,9938.5,18.93,88.23,62.26,88.23,3.0,100.0,50.62,50.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Twofish),combinator,437287.0,476288.0,457574.11,456604.0,95.0,96.0,95.67,96.0,68.0,76.0,70.67,68.0,2142.02,9946.38,8905.84,9946.38,19.02,88.3,79.06,88.3,2.0,98.0,77.6,97.0,
NVIDIA GeForce GTX 1080 Ti,Django(PBKDF2-SHA256),combinator,67823.0,70846.0,69485.56,69428.0,88.0,97.0,96.0,97.0,70.0,74.0,71.0,70.0,2256.66,8300.94,7626.55,8297.62,20.03,73.69,67.71,73.66,1.0,100.0,81.56,97.0,
NVIDIA GeForce GTX 1080 Ti,DNSSEC(NSEC3),combinator,116813274.0,119096557.0,117975928.62,117930587.0,92.0,93.0,92.5,92.5,60.0,62.0,60.62,60.0,2239.66,5315.38,4782.96,5280.91,19.88,47.19,42.46,46.88,1.0,96.0,73.83,94.0,
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials(DCC) MSCache,combinator,2619288040.0,2758293551.0,2690759538.78,2693744465.0,95.0,95.0,95.0,95.0,62.0,65.0,62.89,62.0,1557.16,4583.81,4049.8,4583.81,13.82,40.69,35.95,40.69,0.0,95.0,68.18,93.0,
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials2(DCC2) MSCache2,combinator,409994.0,429841.0,419549.5,418558.0,95.0,99.0,97.5,98.0,76.0,91.0,82.5,80.0,1534.33,6305.62,5775.52,6305.62,13.62,55.98,51.27,55.98,0.0,98.0,81.28,97.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1(context3),combinator,76623.0,79189.0,77560.75,77243.0,95.0,97.0,96.25,96.5,83.0,85.0,84.12,84.0,2228.39,8384.44,7700.47,8384.44,19.78,74.44,68.36,74.44,6.0,97.0,75.89,96.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2(context3),combinator,34834.0,35455.0,35066.88,34834.0,97.0,99.0,98.75,99.0,81.0,85.0,83.5,83.5,2229.7,10465.0,9598.16,10465.0,19.79,92.91,85.21,92.91,6.0,99.0,79.11,99.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2+ActiveDirectorydomaincontext,combinator,74876.0,77060.0,75636.12,75390.0,97.0,98.0,97.5,97.5,83.0,84.0,83.5,83.5,2227.41,8782.06,7799.13,8782.06,19.77,77.97,69.24,77.97,6.0,98.0,78.2,97.5,
NVIDIA GeForce GTX 1080 Ti,Drupal7,combinator,68134.0,68251.0,68162.5,68152.5,98.0,98.0,98.0,98.0,73.0,85.0,79.88,83.0,2216.95,7025.85,6445.16,6967.38,19.68,62.37,57.22,61.86,0.0,98.0,80.56,96.0,
NVIDIA GeForce GTX 1080 Ti,eCryptfs,combinator,16017.0,16694.0,16310.56,16017.0,96.0,96.0,96.0,96.0,69.0,71.0,69.22,69.0,2177.31,6884.61,4867.38,6884.61,19.33,61.12,43.21,61.12,0.0,98.0,30.86,0.0,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type1-3),combinator,359829022.0,361644067.0,360388224.0,360155371.0,94.0,94.0,94.0,94.0,62.0,63.0,62.89,63.0,2211.14,5229.31,4728.26,5229.31,19.63,46.43,41.98,46.43,6.0,98.0,76.33,94.5,
