GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($salt.$pass),hybrid,143353127.0,147594071.0,145328818.09,144488137.0,73.0,96.0,93.82,96.0,52.0,52.0,52.0,52.0,1141.62,4168.27,3088.51,4168.27,10.14,37.01,27.42,37.01,0.0,97.0,42.41,11.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512,hybrid,147821255.0,152216603.0,149779945.5,149192463.5,91.0,96.0,94.7,95.0,51.0,52.0,51.5,51.5,1146.06,4172.71,3166.97,4172.71,10.17,37.04,28.12,37.04,0.0,97.0,35.66,6.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet SecondPassword(SHA256),hybrid,147388.0,147534.0,147486.75,147516.0,95.0,96.0,95.62,96.0,58.0,58.0,58.0,58.0,1140.66,5680.4,3586.18,4677.4,10.13,50.43,31.84,41.53,0.0,97.0,43.5,24.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet V2,hybrid,346397.0,418396.0,388620.5,399766.5,90.0,97.0,94.88,95.0,64.0,79.0,71.12,70.0,1146.19,6146.84,5377.68,6146.84,10.18,54.57,47.74,54.57,0.0,98.0,67.77,97.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet,hybrid,0.0,13059230.0,10280845.38,10968043.0,46.0,96.0,66.85,66.0,54.0,56.0,54.38,54.0,1140.66,6142.4,4038.83,6142.4,10.13,54.53,35.86,54.53,0.0,71.0,31.95,0.0,
NVIDIA GeForce GTX 1080 Ti,BSDiCrypt ExtendedDES,hybrid,1104927.0,1482545.0,1228182.5,1188549.0,20.0,63.0,49.5,59.0,54.0,55.0,54.12,54.0,1141.75,6226.4,5151.83,6226.4,10.14,55.28,45.74,55.28,0.0,69.0,36.61,39.0,
NVIDIA GeForce GTX 1080 Ti,ChaCha20,hybrid,2019122143.0,2635737733.0,2089843170.0,2043564083.0,68.0,97.0,93.75,96.0,59.0,64.0,59.83,59.5,1146.19,4172.84,3584.23,4172.84,10.18,37.05,31.82,37.05,0.0,97.0,61.32,93.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-ASAMD5,hybrid,3581496317.0,7833333520.0,4764564089.0,3821713259.5,22.0,98.0,79.0,98.0,59.0,65.0,61.0,60.0,1146.06,4172.71,2701.02,2728.71,10.17,37.04,23.98,24.23,0.0,97.0,25.0,0.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$8$(PBKDF2-SHA256),hybrid,32003.0,32016.0,32008.57,32003.0,96.0,97.0,96.14,96.0,61.0,61.0,61.0,61.0,1146.19,7196.84,4522.67,7196.84,10.18,63.89,40.15,63.89,0.0,99.0,48.5,48.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$9$(scrypt),hybrid,4100.0,4151.0,4116.75,4112.0,96.0,97.0,96.38,96.0,57.0,57.0,57.0,57.0,1145.54,3154.84,2155.47,1284.84,10.17,28.01,19.14,11.41,0.0,94.0,37.81,0.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOStype4(SHA256),hybrid,0.0,1562453171.0,1149612002.07,1167133834.0,0.0,96.0,76.93,96.0,57.0,61.0,57.87,57.0,1145.94,4173.15,3416.16,4172.59,10.17,37.05,30.33,37.04,0.0,99.0,40.75,20.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-PIXMD5,hybrid,0.0,1335452661.0,886612729.95,1279939587.5,0.0,97.0,45.6,58.5,53.0,58.0,54.95,55.0,1146.06,4172.71,2701.02,2728.71,10.17,37.04,23.98,24.23,0.0,96.0,25.0,0.0,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA1),hybrid,305489860.0,910061608.0,561517690.11,491568128.0,24.0,74.0,41.67,44.0,53.0,55.0,53.56,53.0,1141.75,4168.4,2917.66,4168.4,10.14,37.01,25.9,37.01,0.0,98.0,18.95,0.0,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA512),hybrid,12713262.0,234108574.0,208699581.08,224865674.0,3.0,94.0,78.75,93.0,50.0,54.0,53.25,54.0,1141.75,4168.4,2980.89,4168.4,10.14,37.01,26.46,37.01,0.0,98.0,37.59,4.5,
NVIDIA GeForce GTX 1080 Ti,ColdFusion10+,hybrid,0.0,797444302.0,712850248.81,796746866.5,24.0,96.0,85.75,94.0,55.0,57.0,56.44,57.0,1143.6,4172.84,2705.58,2728.84,10.15,37.05,24.02,24.23,0.0,94.0,30.11,0.0,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5,hybrid,0.0,607194374.0,316051420.75,204981227.5,32.0,97.0,87.55,94.0,52.0,62.0,54.2,53.0,1146.19,4172.84,3816.89,4172.84,10.18,37.05,33.89,37.05,0.0,96.0,65.53,96.0,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5Dovecot,hybrid,740201858.0,1354935130.0,912324671.06,935636880.5,20.0,50.0,42.94,48.0,56.0,58.0,56.19,56.0,1146.19,4172.84,2896.3,4172.84,10.18,37.05,25.71,37.05,0.0,77.0,16.38,3.0,
NVIDIA GeForce GTX 1080 Ti,CRC32,hybrid,0.0,2441980171.0,614923256.25,8856427.0,1.0,96.0,32.0,15.5,54.0,54.0,54.0,54.0,1140.66,4168.4,2985.4,4168.4,10.13,37.01,26.5,37.01,0.0,66.0,6.67,0.0,
NVIDIA GeForce GTX 1080 Ti,CRC32C,hybrid,8799072.0,2681421187.0,1161402027.08,639682745.0,1.0,90.0,43.77,34.0,55.0,58.0,56.54,56.0,1132.41,4160.77,3226.1,4159.77,10.05,36.94,28.64,36.93,0.0,97.0,14.32,0.0,
NVIDIA GeForce GTX 1080 Ti,CRC64Jones,hybrid,5380732015.0,5682646685.0,5487874316.0,5400244248.0,95.0,97.0,96.33,97.0,59.0,60.0,59.33,59.0,1133.12,4159.77,2188.24,1271.77,10.06,36.93,19.43,11.29,0.0,31.0,5.67,0.0,
NVIDIA GeForce GTX 1080 Ti,DahuaAuthenticationMD5,hybrid,4968323878.0,7921295534.0,6116713630.33,5460521479.0,30.0,97.0,74.67,97.0,60.0,67.0,62.67,61.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,DES(PT=$salt key=$pass),hybrid,0.0,2102808785.0,1446452446.0,1497553378.5,51.0,98.0,93.25,97.0,57.0,64.0,58.08,57.0,1141.75,4168.4,3324.65,4168.4,10.14,37.01,29.52,37.01,0.0,96.0,47.3,31.0,
NVIDIA GeForce GTX 1080 Ti,descrypt DES(Unix) TraditionalDES,hybrid,102244066.0,196707333.0,123008000.09,111955589.0,64.0,98.0,94.27,97.0,58.0,69.0,60.0,59.0,1146.06,4172.71,3437.01,4172.71,10.17,37.04,30.51,37.04,0.0,95.0,52.95,71.5,
