GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,GOSTR34.11-94,force,76531346.0,255392531.0,225590347.0,235154087.0,96.0,98.0,97.07,97.0,59.0,64.0,61.07,60.0,1149.44,4176.09,2264.1,1288.09,10.2,37.07,20.1,11.44,0.0,97.0,29.8,0.0,
NVIDIA GeForce GTX 1080 Ti,GPG(AES-128-AES-256(SHA-1($pass))),force,275720.0,3122162.0,2810497.29,3113761.0,71.0,92.0,88.43,91.0,57.0,64.0,62.64,64.0,1146.6,7818.65,5630.29,7818.65,10.18,69.41,49.98,69.41,0.0,100.0,53.67,88.5,
NVIDIA GeForce GTX 1080 Ti,GRUB2,force,5.0,5.0,5.0,5.0,87.0,89.0,88.33,89.0,54.0,57.0,55.11,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,HalfMD5,force,157888324.0,8639041470.0,5520224458.83,6851996375.5,64.0,98.0,88.5,93.5,61.0,65.0,62.33,62.0,1144.35,4171.65,2833.65,4171.65,10.16,37.04,25.16,37.04,0.0,96.0,34.36,0.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-MD5(key=$pass),force,58403366.0,1467777059.0,1102539183.9,1310769183.0,79.0,97.0,92.0,95.0,53.0,55.0,54.4,55.0,1149.44,4176.09,2933.62,4176.09,10.2,37.07,26.04,37.07,0.0,98.0,48.06,56.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-MD5(key=$salt),force,102592300.0,1939380158.0,1466726877.5,1788528814.5,74.0,96.0,90.62,92.0,53.0,54.0,53.62,54.0,1149.44,4176.09,2750.78,3428.09,10.2,37.07,24.42,30.43,0.0,98.0,29.93,0.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA1(key=$pass),force,87703768.0,779449887.0,714200252.89,768357264.0,69.0,97.0,91.74,94.0,53.0,56.0,55.42,56.0,1149.44,4176.09,3125.4,4176.09,10.2,37.07,27.75,37.07,0.0,96.0,52.08,85.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA1(key=$salt),force,92801591.0,1322754820.0,1144631748.0,1249205381.5,71.0,97.0,89.78,91.0,54.0,56.0,55.5,56.0,1148.1,4176.09,2793.42,4176.09,10.19,37.07,24.8,37.07,0.0,96.0,42.32,0.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA256(key=$pass),force,76194128.0,264482546.0,245085130.86,261914893.5,90.0,96.0,92.5,92.0,55.0,58.0,57.64,58.0,1149.44,4176.09,3103.36,4176.09,10.2,37.07,27.55,37.07,0.0,97.0,53.93,93.5,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA256(key=$salt),force,184168030.0,406469772.0,321002552.54,315854788.0,94.0,97.0,96.08,97.0,57.0,65.0,59.92,59.0,1149.44,4176.09,3045.33,4176.09,10.2,37.07,27.04,37.07,0.0,98.0,51.67,93.5,
