GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials(DCC) MSCache,dict4,276846753.0,276846753.0,276846753.0,276846753.0,47.0,47.0,47.0,47.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1868.8,2230.46,10.17,19.8,16.59,19.8,0.0,47.0,23.5,23.5,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1+localcontext,dict4,96788.0,103992.0,98420.56,97816.5,97.0,98.0,97.78,98.0,82.0,86.0,84.06,84.0,1143.66,6186.46,5748.05,6186.46,10.15,54.92,51.03,54.92,0.0,98.0,84.96,98.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2+ActiveDirectorydomaincontext,dict4,74810.0,78750.0,75770.06,75368.5,97.0,98.0,97.61,98.0,82.0,86.0,83.78,84.0,1148.1,7637.21,6825.77,7637.21,10.19,67.8,60.6,67.8,0.0,98.0,79.88,97.0,
NVIDIA GeForce GTX 1080 Ti,Drupal7,dict4,69596.0,72317.0,70542.5,70215.0,97.0,98.0,97.83,98.0,82.0,85.0,83.56,83.5,1138.23,5786.46,5206.06,5786.46,10.1,51.37,46.22,51.37,0.0,99.0,81.71,98.0,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type1-3),dict4,82344635.0,84135874.0,82917394.4,82655860.5,35.0,51.0,41.0,39.0,66.0,67.0,66.3,66.0,1145.16,2230.46,2075.67,2230.46,10.17,19.8,18.43,19.8,0.0,49.0,30.5,36.5,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type4),dict4,209069.0,209159.0,209114.0,209125.0,100.0,100.0,100.0,100.0,74.0,74.0,74.0,74.0,1147.91,6797.02,6326.13,6796.84,10.19,60.34,56.16,60.34,0.0,100.0,86.29,98.0,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type5),dict4,189612.0,190412.0,189912.33,189814.5,85.0,97.0,94.94,96.0,78.0,79.0,78.72,79.0,1145.81,4698.46,4214.25,4698.46,10.17,41.71,37.41,41.71,0.0,98.0,83.91,97.0,
NVIDIA GeForce GTX 1080 Ti,EthereumPre-SaleWallet PBKDF2-HMAC-SHA256,dict4,739710.0,755092.0,744139.28,742587.0,97.0,97.0,97.0,97.0,83.0,86.0,83.89,84.0,1145.81,7130.46,6350.08,7130.46,10.17,63.3,56.38,63.3,0.0,97.0,80.0,97.0,
NVIDIA GeForce GTX 1080 Ti,EthereumWallet PBKDF2-HMAC-SHA256,dict4,6051.0,6232.0,6103.72,6090.5,97.0,97.0,97.0,97.0,82.0,85.0,83.56,84.0,1145.81,7130.46,6350.08,7130.46,10.17,63.3,56.38,63.3,0.0,97.0,79.96,97.0,
NVIDIA GeForce GTX 1080 Ti,EthereumWallet SCRYPT,dict4,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,60.0,63.0,61.0,61.0,1148.1,1544.46,1508.46,1544.46,10.19,13.71,13.39,13.71,0.0,100.0,81.18,90.0,
NVIDIA GeForce GTX 1080 Ti,ExodusDesktopWallet(scrypt),dict4,1084.0,1086.0,1085.35,1086.0,99.0,100.0,99.18,99.0,72.0,73.0,72.18,72.0,1147.91,8613.21,7934.58,8613.21,10.19,76.47,70.44,76.47,0.0,100.0,85.64,99.0,
NVIDIA GeForce GTX 1080 Ti,FileVault2,dict4,78599.0,82626.0,79481.78,79130.5,96.0,97.0,96.89,97.0,82.0,85.0,83.67,83.5,1145.16,6122.46,5500.48,6122.46,10.17,54.35,48.83,54.35,0.0,98.0,80.62,97.0,
NVIDIA GeForce GTX 1080 Ti,FileZillaServer-=0.9.55,dict4,31142737.0,31764187.0,31422419.33,31374135.5,14.0,22.0,18.61,19.0,60.0,62.0,60.44,60.0,1145.16,2230.46,2075.48,2230.46,10.17,19.8,18.43,19.8,0.0,36.0,24.38,28.0,
NVIDIA GeForce GTX 1080 Ti,FlaskSessionCookie($salt.$salt.$pass),dict4,28822819.0,29450767.0,29097431.78,29128436.0,13.0,26.0,21.33,20.0,62.0,64.0,62.5,62.0,1145.0,2229.65,2094.3,2229.65,10.17,19.79,18.59,19.79,0.0,54.0,41.06,49.5,
NVIDIA GeForce GTX 1080 Ti,FortiGate(FortiOS),dict4,249598261.0,250478869.0,250038565.0,250038565.0,46.0,57.0,51.5,51.5,68.0,68.0,68.0,68.0,1132.73,2218.02,1908.03,2218.02,10.06,19.69,16.94,19.69,0.0,56.0,28.0,44.0,
NVIDIA GeForce GTX 1080 Ti,GOSTR34.11-2012(Streebog)256-bit big-endian,dict4,38407914.0,39078750.0,38642174.06,38581344.5,63.0,75.0,71.61,73.5,72.0,72.0,72.0,72.0,1145.16,2230.46,2089.08,2230.46,10.17,19.8,18.55,19.8,0.0,75.0,58.39,72.0,
NVIDIA GeForce GTX 1080 Ti,GOSTR34.11-2012(Streebog)512-bit big-endian,dict4,13730850.0,14103521.0,13857206.89,13797957.0,19.0,33.0,26.33,25.5,63.0,63.0,63.0,63.0,1148.88,2233.77,2092.09,2233.52,10.2,19.83,18.57,19.83,0.0,75.0,59.57,73.0,
NVIDIA GeForce GTX 1080 Ti,GOSTR34.11-94,dict4,2.0,120016340.0,102846613.62,117104874.5,9.0,47.0,41.75,46.5,69.0,279530121.0,34941326.12,69.5,1133.38,4094.02,3460.36,4094.02,10.06,36.35,30.72,36.35,0.0,36.0,20.67,27.5,
NVIDIA GeForce GTX 1080 Ti,GPG(AES-128-AES-256(SHA-1($pass))),dict4,2156816.0,2221745.0,2176826.39,2170800.0,61.0,96.0,91.06,95.0,81.0,85.0,83.06,83.5,1137.38,7740.02,6879.51,7740.02,10.1,68.71,61.08,68.71,0.0,97.0,78.26,94.0,
NVIDIA GeForce GTX 1080 Ti,HalfMD5,dict4,309934070.0,309934070.0,309934070.0,309934070.0,39.0,39.0,39.0,39.0,65.0,65.0,65.0,65.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,42.0,19.5,18.5,
NVIDIA GeForce GTX 1080 Ti,HMAC-MD5(key=$pass),dict4,283362375.0,283362375.0,283362375.0,283362375.0,34.0,34.0,34.0,34.0,67.0,67.0,67.0,67.0,1145.16,2230.46,1869.29,2230.46,10.17,19.8,16.6,19.8,0.0,47.0,21.67,20.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-MD5(key=$salt),dict4,303833139.0,303833139.0,303833139.0,303833139.0,37.0,37.0,37.0,37.0,66.0,66.0,66.0,66.0,1145.73,2230.46,1869.39,2230.46,10.17,19.8,16.6,19.8,0.0,39.0,18.5,17.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA1(key=$pass),dict4,164456105.0,165925084.0,165210107.5,165229620.5,32.0,42.0,37.0,37.0,67.0,67.0,67.0,67.0,1145.81,2230.46,1869.49,2230.46,10.17,19.8,16.6,19.8,0.0,48.0,26.56,34.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA1(key=$salt),dict4,279551605.0,279551605.0,279551605.0,279551605.0,44.0,44.0,44.0,44.0,68.0,68.0,68.0,68.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,46.0,23.67,26.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA256(key=$pass),dict4,131669577.0,134633234.0,132954406.6,132868454.0,47.0,54.0,51.0,51.0,69.0,69.0,69.0,69.0,1145.16,2230.46,1989.36,2230.46,10.17,19.8,17.66,19.8,0.0,55.0,39.56,49.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA256(key=$salt),dict4,53722410.0,54967415.0,54056342.81,53886725.0,25.0,31.0,28.25,28.0,63.0,64.0,63.19,63.0,1145.81,2230.46,2082.79,2230.46,10.17,19.8,18.49,19.8,0.0,37.0,26.27,31.0,
NVIDIA GeForce GTX 1080 Ti,HMAC-SHA512(key=$pass),dict4,14876549.0,15172781.0,14957822.56,14900853.5,19.0,26.0,22.72,22.5,61.0,62.0,61.39,61.0,1144.04,2246.77,2102.85,2246.46,10.16,19.95,18.67,19.94,0.0,74.0,52.13,59.0,
